"","PTY","DISTRICT_N","VOTES"
"2545","R",246909,44469
"2546","D",246911,2038
"2547","I",246911,218
"2548","R",246911,3162
"2549","D",246912,274
"2550","I",246912,53
"2551","R",246912,1044
"2552","D",246913,28726
"2553","I",246913,4535
"2554","R",246913,43420
"2555","D",246914,89
"2556","I",246914,16
"2557","R",246914,299
"2558","D",247901,4226
"2559","I",247901,230
"2560","R",247901,5833
"2561","D",247903,956
"2562","I",247903,119
"2563","R",247903,3959
"2564","D",247904,467
"2565","I",247904,23
"2566","R",247904,938
"2567","D",247906,474
"2568","I",247906,67
"2569","R",247906,1891
"2570","D",248901,177
"2571","I",248901,22
"2572","R",248901,693
"2573","D",248902,230
"2574","I",248902,25
"2575","R",248902,769
"2576","I",249901,118
"2577","R",249901,1571
"2578","D",249902,155
"2579","I",249902,167
"2580","R",249902,2270
"2581","I",249903,331
"2582","R",249903,3274
"2583","I",249904,100
"2584","R",249904,1197
"2585","D",249905,407
"2586","I",249905,283
"2587","R",249905,4571
"2588","D",249906,0
"2589","I",249906,212
"2590","R",249906,2036
"2591","D",249908,106
"2592","I",249908,94
"2593","R",249908,1373
"2594","D",250902,358
"2595","I",250902,36
"2596","R",250902,1789
"2597","D",250903,68
"2598","I",250903,199
"2599","R",250903,3123
"2600","D",250904,198
"2601","I",250904,165
"2602","R",250904,3495
"2603","I",250905,94
"2604","R",250905,1339
"2605","D",250906,0
"2606","I",250906,184
"2607","R",250906,2813
"2608","D",250907,184
"2609","I",250907,164
"2610","R",250907,2872
"2611","I",251901,87
"2612","R",251901,826
"2613","I",251902,88
"2614","R",251902,972
"2615","I",252901,374
"2616","R",252901,4449
"2617","I",252902,98
"2618","R",252902,1010
"2619","I",252903,99
"2620","R",252903,1388
"2621","D",253901,2497
"2622","I",253901,42
"2623","R",253901,494
"2624","D",254901,2012
"2625","I",254901,105
"2626","R",254901,404
"2627","D",254902,320
"2628","I",254902,32
"2629","R",254902,173
