"","PTY","DISTRICT_N","VOTES"
"632","R",61911,30692
"633","D",61912,1980
"634","I",61912,341
"635","R",61912,5769
"636","D",61914,5230
"637","I",61914,639
"638","R",61914,9168
"639","D",62901,564
"640","R",62901,1808
"641","D",62902,76
"642","I",62902,0
"643","R",62902,355
"644","D",62903,431
"645","R",62903,2274
"646","D",62904,222
"647","I",62904,0
"648","R",62904,1237
"649","D",62905,59
"650","R",62905,343
"651","D",62906,66
"652","R",62906,681
"653","I",63903,14
"654","R",63903,322
"655","I",63906,7
"656","R",63906,169
"657","D",64903,2038
"658","I",64903,173
"659","R",64903,933
"660","I",65901,106
"661","R",65901,1009
"662","I",65902,26
"663","R",65902,248
"664","D",66005,97
"665","I",66005,3
"666","R",66005,21
"667","D",66901,764
"668","I",66901,30
"669","R",66901,155
"670","D",66902,1639
"671","I",66902,74
"672","R",66902,293
"673","D",66903,527
"674","I",66903,50
"675","R",66903,341
"676","I",67902,109
"677","R",67902,1522
"678","I",67903,151
"679","R",67903,2216
"680","I",67904,42
"681","R",67904,702
"682","I",67907,100
"683","R",67907,998
"684","I",67908,35
"685","R",67908,537
"686","D",68901,0
"687","I",68901,4154
"688","R",68901,27242
"689","D",69901,229
"690","I",69901,28
"691","R",69901,405
"692","D",69902,162
"693","I",69902,47
"694","R",69902,867
"695","D",70901,35
"696","I",70901,8
"697","R",70901,210
"698","D",70903,2313
"699","I",70903,313
"700","R",70903,5883
"701","D",70905,928
"702","I",70905,86
"703","R",70905,2035
"704","D",70907,264
"705","I",70907,29
"706","R",70907,772
"707","D",70908,2716
"708","I",70908,354
"709","R",70908,13321
"710","D",70909,112
"711","I",70909,6
"712","R",70909,282
"713","D",70910,355
"714","I",70910,62
"715","R",70910,1369
"716","D",70911,3250
"717","I",70911,302
"718","R",70911,6625
"719","D",70912,4515
"720","I",70912,550
"721","R",70912,14113
"722","D",70915,292
"723","I",70915,59
"724","R",70915,1854
"725","D",71901,6307
"726","I",71901,864
"727","R",71901,760
"728","D",71902,67646
"729","I",71902,11816
"730","D",71903,1835
"731","I",71903,82
"732","R",71903,425
"733","D",71904,1695
"734","I",71904,64
"735","R",71904,271
"736","D",71905,42500
"737","I",71905,5659
"738","R",71905,449
"739","D",71906,657
"740","I",71906,116
"741","D",71907,7230
"742","I",71907,1454
"743","D",71908,443
"744","I",71908,20
"745","R",71908,130
"746","D",71909,38656
"747","I",71909,5714
"748","R",71909,1101
"749","D",72901,49
"750","I",72901,10
"751","R",72901,371
"752","D",72902,113
"753","I",72902,149
"754","R",72902,2252
"755","D",72903,755
"756","I",72903,473
"757","R",72903,5789
"758","I",72904,35
"759","R",72904,476
"760","D",72908,1
"761","I",72908,53
"762","R",72908,828
"763","D",72909,18
"764","I",72909,33
"765","R",72909,558
"766","I",72910,26
"767","R",72910,388
"768","D",73901,178
"769","I",73901,17
"770","R",73901,480
"771","D",73903,904
"772","I",73903,35
"773","R",73903,1221
"774","D",73904,11
"775","I",73904,2
"776","R",73904,117
"777","D",73905,361
"778","I",73905,48
"779","R",73905,1476
"780","I",74903,461
"781","R",74903,3769
"782","I",74904,63
"783","R",74904,495
"784","I",74905,29
"785","R",74905,339
"786","I",74907,136
"787","R",74907,905
"788","I",74909,96
"789","R",74909,1110
"790","I",74911,34
"791","R",74911,594
"792","I",74912,96
"793","R",74912,959
"794","I",74917,90
"795","R",74917,944
"796","D",75901,293
"797","I",75901,41
"798","R",75901,1302
"799","D",75902,888
"800","I",75902,124
"801","R",75902,3842
"802","D",75903,362
"803","I",75903,36
"804","R",75903,1658
"805","D",75906,117
"806","I",75906,14
"807","R",75906,659
"808","D",75908,148
"809","I",75908,27
"810","R",75908,970
"811","I",76903,69
"812","R",76903,530
"813","I",76904,56
"814","R",76904,403
"815","I",77901,64
"816","R",77901,865
"817","I",77902,37
"818","R",77902,571
"819","I",78901,48
"820","R",78901,443
"821","D",79901,23005
"822","I",79901,0
"823","R",79901,38196
"824","D",79906,974
"825","R",79906,3966
"826","D",79907,85509
"827","R",79907,61250
"828","D",79910,3289
"829","R",79910,1704
"830","D",80901,0
"831","I",80901,348
"832","R",80901,3211
"833","D",81902,720
"834","I",81902,100
"835","R",81902,3215
"836","D",81904,371
"837","I",81904,39
"838","R",81904,1656
"839","D",81905,126
"840","I",81905,14
"841","R",81905,606
"842","D",81906,73
"843","I",81906,7
"844","R",81906,337
"845","D",82902,654
"846","I",82902,58
"847","R",82902,553
"848","D",82903,1321
"849","I",82903,138
"850","R",82903,783
"851","I",83901,56
"852","R",83901,535
"853","I",83902,10
"854","R",83902,185
"855","I",83903,201
"856","R",83903,3353
"857","D",84901,6293
"858","I",84901,0
"859","R",84901,11082
"860","D",84902,8628
"861","I",84902,0
"862","R",84902,8626
"863","D",84903,104
"864","I",84903,0
"865","R",84903,390
"866","D",84906,9540
"867","R",84906,7423
"868","D",84908,1853
"869","R",84908,2462
"870","D",84909,2414
"871","R",84909,9169
"872","D",84910,19084
"873","I",84910,5192
"874","R",84910,63350
"875","D",84911,2645
"876","R",84911,11899
"877","I",85902,85
"878","R",85902,1108
"879","I",85903,12
"880","R",85903,149
"881","D",86024,23
"882","I",86024,11
"883","R",86024,265
"884","D",86901,1753
"885","I",86901,550
"886","R",86901,9255
"887","D",86902,177
"888","I",86902,87
"889","R",86902,1570
"890","D",87901,0
"891","I",87901,25
"892","R",87901,564
"893","D",88902,1080
"894","I",88902,0
"895","R",88902,2420
"896","D",89901,991
"897","I",89901,0
"898","R",89901,3165
"899","D",89903,320
"900","I",89903,11
"901","R",89903,1167
"902","D",89905,284
"903","I",89905,0
"904","R",89905,474
"905","I",90902,20
"906","R",90902,215
"907","I",90903,38
"908","R",90903,498
"909","I",90904,604
"910","R",90904,5352
"911","I",90905,17
"912","R",90905,136
"913","I",91901,96
"914","R",91901,990
"915","I",91902,89
"916","R",91902,1037
"917","I",91903,1057
"918","R",91903,6186
"919","I",91905,268
"920","R",91905,1800
"921","I",91906,1640
"922","R",91906,8162
"923","D",91907,0
"924","I",91907,48
"925","R",91907,522
"926","I",91908,361
"927","R",91908,2709
"928","I",91909,276
"929","R",91909,3169
"930","I",91910,168
"931","R",91910,1605
"932","I",91913,362
"933","R",91913,3099
"934","I",91914,255
"935","R",91914,2380
"936","D",91917,0
"937","I",91917,130
"938","R",91917,1240
"939","I",91918,166
"940","R",91918,1648
"941","D",92901,609
"942","I",92901,101
"943","R",92901,2806
"944","D",92902,1247
"945","I",92902,116
"946","R",92902,5368
"947","D",92903,7170
"948","I",92903,375
"949","R",92903,11677
"950","D",92904,1857
"951","I",92904,179
"952","R",92904,6463
"953","D",92906,365
"954","I",92906,51
"955","R",92906,2330
"956","D",92907,481
"957","I",92907,82
"958","R",92907,2930
"959","D",92908,181
"960","I",92908,38
"961","R",92908,1770
"962","D",93901,285
"963","I",93901,27
"964","R",93901,1627
"965","D",93903,131
"966","I",93903,20
"967","R",93903,1008
"968","D",93904,1517
"969","I",93904,114
"970","R",93904,4276
"971","D",93905,115
"972","I",93905,10
"973","R",93905,651
"974","D",94901,4154
"975","I",94901,611
"976","R",94901,8756
"977","D",94902,9600
"978","I",94902,1213
"979","R",94902,16580
"980","D",94903,1128
"981","I",94903,185
"982","R",94903,2977
"983","D",94904,860
"984","I",94904,180
"985","R",94904,2947
"986","I",95901,75
"987","R",95901,967
"988","I",95902,29
"989","R",95902,304
"990","I",95903,41
"991","R",95903,424
"992","I",95904,59
"993","R",95904,472
"994","I",95905,634
"995","R",95905,5147
"996","I",96904,64
"997","R",96904,811
"998","I",96905,18
"999","R",96905,286
"1000","D",97902,282
"1001","I",97902,44
"1002","R",97902,1813
"1003","D",97903,134
"1004","I",97903,17
"1005","R",97903,910
"1006","I",98901,45
"1007","R",98901,608
"1008","I",98903,34
"1009","R",98903,633
"1010","I",98904,107
"1011","R",98904,1458
"1012","I",99902,104
"1013","R",99902,1027
"1014","I",99903,80
"1015","R",99903,1009
"1016","I",100903,242
"1017","R",100903,3836
"1018","I",100904,415
"1019","R",100904,5056
"1020","D",100905,761
"1021","I",100905,127
"1022","R",100905,4629
"1023","D",100907,0
"1024","I",100907,337
"1025","R",100907,6860
"1026","I",100908,74
"1027","R",100908,1730
"1028","D",101902,39122
"1029","I",101902,1335
"1030","R",101902,10716
"1031","D",101903,36994
"1032","R",101903,12780
"1033","D",101905,3034
"1034","I",101905,780
"1035","R",101905,2561
"1036","D",101906,234
"1037","I",101906,932
"1038","R",101906,7725
"1039","D",101907,71132
"1040","I",101907,3675
"1041","R",101907,104206
"1042","D",101908,1233
"1043","I",101908,1439
"1044","R",101908,12698
"1045","D",101910,12809
"1046","I",101910,403
"1047","R",101910,3861
"1048","I",101911,3606
"1049","R",101911,15448
"1050","D",101912,278327
"1051","I",101912,7841
"1052","R",101912,135802
"1053","D",101913,20718
"1054","I",101913,1847
"1055","R",101913,43879
"1056","D",101914,37573
"1057","I",101914,1326
"1058","R",101914,68159
"1059","D",101915,28432
"1060","I",101915,2404
"1061","R",101915,54562
"1062","I",101916,1545
"1063","R",101916,11614
"1064","D",101917,24919
"1065","I",101917,2532
"1066","R",101917,21962
"1067","D",101919,29252
"1068","I",101919,1292
"1069","R",101919,18895
"1070","D",101920,18873
"1071","I",101920,1012
"1072","R",101920,37396
"1073","D",101921,7201
"1074","I",101921,760
"1075","R",101921,23271
"1076","D",101924,6304
"1077","I",101924,539
"1078","R",101924,3892
"1079","D",101925,657
"1080","I",101925,115
"1081","R",101925,5119
"1082","D",102901,400
"1083","I",102901,30
"1084","R",102901,1093
"1085","D",102902,4600
"1086","I",102902,197
"1087","R",102902,7523
"1088","D",102903,369
"1089","I",102903,19
"1090","R",102903,996
"1091","D",102904,1035
"1092","I",102904,172
"1093","R",102904,7041
"1094","D",102905,156
"1095","I",102905,20
"1096","R",102905,1147
"1097","D",102906,400
"1098","I",102906,48
"1099","R",102906,1739
"1100","I",103901,33
"1101","R",103901,671
"1102","I",103902,21
"1103","R",103902,332
"1104","I",104901,88
"1105","R",104901,918
"1106","I",104903,22
"1107","R",104903,182
"1108","I",104907,37
"1109","R",104907,280
"1110","D",105902,10445
"1111","I",105902,1628
"1112","R",105902,7833
"1113","D",105904,4714
"1114","I",105904,630
"1115","R",105904,8180
"1116","D",105905,2164
"1117","I",105905,243
"1118","R",105905,3677
"1119","D",105906,14502
"1120","I",105906,1854
"1121","R",105906,15429
"1122","I",106901,109
"1123","R",106901,1359
"1124","I",107901,670
"1125","R",107901,6093
"1126","D",107902,0
"1127","I",107902,414
"1128","R",107902,5400
"1129","D",107904,0
"1130","I",107904,110
"1131","R",107904,1452
"1132","I",107905,240
"1133","R",107905,2355
"1134","D",107906,0
"1135","I",107906,279
"1136","R",107906,2819
"1137","D",107907,0
"1138","I",107907,30
"1139","R",107907,278
"1140","I",107908,14
"1141","R",107908,173
"1142","I",107910,90
"1143","R",107910,1279
"1144","D",108902,7733
"1145","I",108902,219
"1146","R",108902,2684
"1147","D",108903,4332
"1148","I",108903,222
"1149","R",108903,549
"1150","D",108904,19694
"1151","I",108904,1694
"1152","R",108904,7347
"1153","D",108905,1898
"1154","I",108905,86
"1155","R",108905,283
"1156","D",108906,18479
"1157","I",108906,1503
"1158","R",108906,9433
"1159","D",108907,3353
"1160","I",108907,289
"1161","R",108907,809
"1162","D",108908,9060
"1163","I",108908,432
"1164","R",108908,3110
"1165","D",108909,17881
"1166","I",108909,767
"1167","R",108909,5483
"1168","D",108910,907
"1169","I",108910,0
"1170","R",108910,259
"1171","D",108911,6795
"1172","I",108911,441
"1173","R",108911,4172
"1174","D",108912,10854
"1175","I",108912,322
"1176","R",108912,2224
"1177","D",108913,9806
"1178","I",108913,460
"1179","R",108913,3807
"1180","D",108914,816
"1181","I",108914,51
"1182","R",108914,158
"1183","D",108915,678
"1184","I",108915,39
"1185","R",108915,183
"1186","D",108916,3173
