"","precinct","party","votes"
"12742","467001B","I",145
"12743","467001C","I",66
"12744","467001D","I",60
"12745","467001E","I",60
"12746","467002A","I",175
"12747","467002B","I",83
"12748","467002C","I",119
"12749","467002D","I",108
"12750","467003A","I",63
"12751","467003B","I",95
"12752","467003C","I",199
"12753","467003D","I",137
"12754","467004A","I",58
"12755","467004B","I",106
"12756","467004C","I",104
"12757","467004D","I",203
"12758","467004E","I",59
"12759","470001","I",11
"12760","470002","I",27
"12761","470003","I",18
"12762","470004","I",5
"12763","470005","I",2
"12764","470006","I",34
"12765","470007","I",5
"12766","470008","I",14
"12767","470009","I",12
"12768","4730101","I",17
"12769","4730102","I",11
"12770","4730103","I",23
"12771","4730104","I",8
"12772","4730105","I",12
"12773","4730206","I",43
"12774","4730207","I",65
"12775","4730208","I",19
"12776","4730309","I",7
"12777","4730310","I",13
"12778","4730311","I",15
"12779","4730312","I",32
"12780","4730313","I",10
"12781","4730414","I",5
"12782","4730415","I",22
"12783","4730416","I",19
"12784","4730417","I",15
"12785","4730418","I",50
"12786","4730419","I",2
"12787","4730420A","I",19
"12788","4730420B","I",0
"12789","4750002","I",34
"12790","475001E","I",21
"12791","475001W","I",4
"12792","475003N","I",11
"12793","475003S","I",8
"12794","475004E","I",11
"12795","475004M","I",7
"12796","475004W","I",1
"12797","4770101","I",9
"12798","4770104","I",21
"12799","4770109","I",9
"12800","4770115","I",11
"12801","4770117","I",2
"12802","4770121","I",2
"12803","4770202","I",0
"12804","4770203","I",31
"12805","4770205","I",34
"12806","4770208","I",25
"12807","4770307","I",22
"12808","4770311","I",29
"12809","4770312","I",27
"12810","4770316","I",0
"12811","4770320","I",29
"12812","4770406","I",36
"12813","4770410","I",17
"12814","4770413","I",18
"12815","4770414","I",12
"12816","4770418","I",20
"12817","4770419","I",9
"12818","4790122","I",5
"12819","4790124","I",24
"12820","4790125","I",10
"12821","4790128","I",4
"12822","4790129","I",26
"12823","4790130","I",35
"12824","4790132","I",50
"12825","4790133","I",46
"12826","4790134","I",17
"12827","4790135","I",19
"12828","4790136","I",2
"12829","4790154","I",11
"12830","4790164","I",16
"12831","4790215","I",27
"12832","4790218","I",23
"12833","4790219","I",20
"12834","4790220","I",11
"12835","4790221","I",25
"12836","4790226","I",11
"12837","4790227","I",56
"12838","4790231","I",36
"12839","4790237","I",6
"12840","4790239","I",57
"12841","4790252A","I",21
"12842","4790252B","I",0
"12843","4790252C","I",1
"12844","4790255","I",33
"12845","4790266","I",17
"12846","4790267","I",15
"12847","4790268","I",1
"12848","4790308","I",7
"12849","4790309","I",60
"12850","4790310","I",6
"12851","4790311","I",23
"12852","4790312","I",11
"12853","4790338","I",2
"12854","4790340","I",25
"12855","4790341","I",18
"12856","4790342","I",32
"12857","4790343","I",33
"12858","4790344","I",64
"12859","4790345","I",36
"12860","4790349","I",25
"12861","4790350","I",2
"12862","4790351","I",2
"12863","4790356","I",72
"12864","4790359","I",41
"12865","4790360","I",18
"12866","4790361","I",11
"12867","4790362","I",8
"12868","4790363","I",13
"12869","4790401","I",19
"12870","4790402","I",17
"12871","4790403","I",11
"12872","4790404","I",18
"12873","4790405","I",18
"12874","4790406","I",7
"12875","4790407","I",5
"12876","4790413","I",36
"12877","4790414","I",7
"12878","4790416","I",11
"12879","4790417","I",3
"12880","4790423","I",6
"12881","4790446","I",30
"12882","4790447","I",38
"12883","4790448","I",5
"12884","4790453","I",2
"12885","4790457","I",0
"12886","4790458","I",50
"12887","4790465","I",11
"12888","4830001","I",10
"12889","4830002","I",20
"12890","4830003","I",20
"12891","4830004","I",11
"12892","4830005","I",3
"12893","4830006","I",4
"12894","4830007","I",3
"12895","4830008","I",30
"12896","4830009","I",30
"12897","4830010","I",5
"12898","4850101","I",15
"12899","4850102","I",67
"12900","4850103","I",304
"12901","4850104","I",84
"12902","4850105","I",271
"12903","4850106","I",51
"12904","4850107","I",2
"12905","4850108","I",229
"12906","4850109","I",247
"12907","4850110","I",59
"12908","4850111","I",88
"12909","4850112","I",0
"12910","4850113","I",51
"12911","4850114A","I",0
"12912","4850114B","I",1
"12913","4850115","I",0
"12914","4850116","I",2
"12915","4850117","I",5
"12916","4850201","I",213
"12917","4850202","I",107
"12918","4850203","I",125
"12919","4850204","I",31
"12920","4850205","I",208
"12921","4850206","I",181
"12922","4850207","I",58
"12923","4850208","I",10
"12924","4850209","I",0
"12925","4850210","I",0
"12926","4850211","I",16
"12927","4850301","I",0
"12928","4850302","I",115
"12929","4850303","I",122
"12930","4850304","I",18
"12931","4850305","I",32
"12932","4850306","I",111
"12933","4850307","I",15
"12934","4850308","I",61
"12935","4850309","I",189
"12936","4850310","I",84
"12937","4850311","I",118
"12938","4850312","I",0
"12939","4850313","I",4
"12940","4850314","I",0
"12941","4850315","I",19
"12942","4850316","I",7
"12943","4850317","I",5
"12944","4850318","I",35
"12945","4850319","I",2
"12946","4850401","I",153
"12947","4850402","I",52
"12948","4850403","I",161
"12949","4850404","I",169
"12950","4850405","I",188
"12951","4850406","I",156
"12952","4850407","I",149
"12953","4850408","I",0
"12954","4850409","I",1
"12955","4850410","I",63
"12956","4850411","I",79
"12957","4850412","I",27
"12958","4850413","I",32
"12959","4850414","I",26
"12960","4870001A","I",45
"12961","4870001B","I",4
"12962","4870007","I",7
"12963","4870009","I",51
"12964","4870019","I",76
"12965","4870020","I",51
"12966","4870021","I",78
"12967","490101","I",94
"12968","490105","I",64
"12969","490109","I",7
"12970","490113","I",70
"12971","490202","I",75
"12972","490204","I",29
"12973","490212","I",27
"12974","490214","I",32
"12975","490215","I",10
"12976","490303","I",64
"12977","490306","I",77
"12978","490307","I",29
"12979","490308","I",28
"12980","490316","I",8
"12981","490318","I",61
"12982","490410","I",67
"12983","490411","I",64
"12984","490417","I",74
"12985","4910119","I",131
"12986","4910122","I",126
"12987","4910135","I",115
"12988","4910138","I",144
"12989","4910140","I",93
"12990","4910145","I",100
"12991","4910146","I",198
"12992","4910147","I",161
"12993","4910149","I",74
"12994","4910150","I",78
"12995","4910151","I",141
"12996","4910152","I",116
"12997","4910160","I",170
"12998","4910162","I",115
"12999","4910172","I",79
"13000","4910182","I",130
"13001","4910185","I",53
"13002","4910186","I",72
"13003","4910189","I",104
"13004","4910190","I",192
"13005","4910197","I",83
"13006","4910198","I",141
"13007","4910201","I",193
"13008","4910204","I",225
"13009","4910206","I",108
"13010","4910207","I",170
"13011","4910216","I",116
"13012","4910218","I",140
"13013","4910253","I",235
"13014","4910254","I",152
"13015","4910259","I",253
"13016","4910264","I",165
"13017","4910266","I",143
"13018","4910267","I",130
"13019","4910273","I",129
"13020","4910274","I",174
"13021","4910275","I",110
"13022","4910277","I",191
"13023","4910278","I",268
"13024","4910283","I",191
"13025","4910287","I",192
"13026","4910305","I",85
"13027","4910309","I",45
"13028","4910310","I",51
"13029","4910311","I",68
"13030","4910312","I",118
"13031","4910314","I",118
"13032","4910330","I",153
"13033","4910331","I",138
"13034","4910332","I",138
"13035","4910333A","I",163
"13036","4910333B","I",0
"13037","4910337","I",131
"13038","4910339","I",82
"13039","4910341","I",56
"13040","4910342","I",36
"13041","4910343","I",183
"13042","4910344","I",107
"13043","4910368","I",95
"13044","4910369","I",138
"13045","4910370","I",161
"13046","4910371","I",82
"13047","4910379","I",152
"13048","4910381","I",75
"13049","4910392","I",159
"13050","4910394","I",123
"13051","4910395","I",100
"13052","4910396","I",75
"13053","4910402","I",194
"13054","4910403","I",78
"13055","4910413","I",15
"13056","4910415","I",43
"13057","4910420","I",187
"13058","4910423","I",141
"13059","4910424","I",230
"13060","4910425","I",6
"13061","4910426","I",74
"13062","4910427","I",62
"13063","4910428","I",81
"13064","4910429","I",31
"13065","4910434","I",74
"13066","4910436","I",18
"13067","4910455","I",104
"13068","4910456","I",25
"13069","4910463","I",183
"13070","4910480","I",177
"13071","4910484","I",169
"13072","4910488","I",170
"13073","4910491","I",176
"13074","4930101","I",33
"13075","4930102","I",15
"13076","4930103","I",34
"13077","4930104","I",20
"13078","4930205","I",12
"13079","4930206","I",30
"13080","4930207","I",19
"13081","4930208","I",8
"13082","4930209","I",8
"13083","4930310","I",7
"13084","4930311","I",27
"13085","4930312","I",34
"13086","4930313","I",33
"13087","4930414","I",45
"13088","4930415","I",63
"13089","4930416","I",34
"13090","4950101","I",13
"13091","4950201","I",2
"13092","4950202","I",7
"13093","4950301","I",16
"13094","4950401","I",8
"13095","4970001","I",79
"13096","4970002","I",48
"13097","4970003","I",32
"13098","4970004","I",27
"13099","4970005","I",40
"13100","4970006","I",44
"13101","4970007A","I",14
"13102","4970007B","I",10
"13103","4970008","I",121
"13104","4970009","I",94
"13105","4970010","I",25
"13106","4970011","I",23
"13107","4970012","I",70
"13108","4970013","I",73
"13109","4970014","I",81
"13110","4970015","I",61
"13111","4970016","I",110
"13112","4970017","I",166
"13113","4970018","I",42
"13114","4970019","I",37
"13115","4970020","I",54
"13116","4970022","I",39
"13117","4970023","I",106
"13118","4970024","I",66
"13119","4970025","I",1
"13120","4970027","I",82
"13121","49901-1","I",116
"13122","49901-2","I",93
"13123","49901-3","I",68
"13124","49901-4","I",15
"13125","49902-1","I",3
"13126","49902-2","I",155
"13127","49902-3","I",107
"13128","49903-1","I",7
"13129","49903-2","I",27
"13130","49903-3","I",36
"13131","49904-1","I",4
"13132","49904-2","I",27
"13133","49904-3","I",116
"13134","49904-4","I",24
"13135","50001","I",3
"13136","50002","I",15
"13137","50003","I",21
"13138","50004","I",11
"13139","50005","I",22
"13140","50006","I",5
"13141","50007","I",14
"13142","50008A","I",5
"13143","50008B","I",5
"13144","50009","I",4
"13145","50010A","I",10
"13146","50010B","I",1
"13147","50011","I",17
"13148","50012","I",8
"13149","50013","I",9
"13150","50014","I",14
"13151","50015","I",4
"13152","50016","I",21
"13153","50017","I",13
"13154","50018","I",7
"13155","50019","I",32
"13156","50020","I",12
"13157","50021","I",19
"13158","50022","I",11
"13159","50023","I",6
"13160","50024","I",34
"13161","50025","I",26
"13162","50026","I",18
"13163","50027","I",7
"13164","50028","I",12
"13165","50029","I",22
"13166","50030","I",6
"13167","50031","I",5
"13168","50032","I",0
"13169","50033","I",11
"13170","50034","I",41
"13171","50035","I",18
"13172","50036","I",0
"13173","50037","I",8
"13174","50038","I",8
"13175","50039","I",6
"13176","50040","I",7
"13177","5010101","I",45
"13178","5010202","I",41
"13179","5010303","I",32
"13180","5010305","I",14
"13181","5010404","I",22
"13182","5010406","I",30
"13183","5011B","I",17
"13184","5017B","I",7
"13185","5030005","I",191
"13186","5030006","I",7
"13187","5030007","I",7
"13188","5030010","I",21
"13189","5030016","I",6
"13190","5030020","I",8
"13191","5030022","I",127
"13192","5030023","I",78
"13193","5030024","I",113
"13194","5050001","I",12
"13195","5050002","I",5
"13196","5050003","I",21
"13197","5050004","I",2
"13198","505001A","I",0
"13199","505001B","I",1
"13200","505002A","I",1
"13201","5070001","I",12
"13202","5070002","I",35
"13203","5070003","I",37
"13204","5070004","I",33
"13205","507001A","I",14
"13206","507004A","I",14
"13207","510113","I",4
"13208","510114","I",19
"13209","510203","I",3
"13210","510204","I",12
"13211","510207","I",3
"13212","510211","I",9
"13213","510215","I",4
"13214","510301","I",18
"13215","510305","I",12
"13216","510308","I",7
"13217","510309","I",13
"13218","510406","I",12
"13219","510410","I",21
"13220","530001","I",28
"13221","530002","I",47
"13222","530003","I",25
"13223","530004","I",48
"13224","530005","I",11
"13225","530006","I",19
"13226","530007","I",9
"13227","530008","I",20
"13228","530009","I",41
"13229","530010","I",27
"13230","530011","I",5
"13231","530012","I",39
"13232","530013","I",35
"13233","530014","I",6
"13234","530015","I",15
"13235","530016","I",15
"13236","530017","I",30
"13237","530018","I",27
"13238","530019","I",69
"13239","530020","I",66
"13240","550100","I",13
"13241","550101","I",6
"13242","550103","I",40
"13243","550105","I",2
"13244","550107","I",0
"13245","550108","I",3
"13246","550109","I",0
"13247","550114","I",0
"13248","550115","I",0
"13249","550116","I",0
"13250","550118","I",1
"13251","550301","I",41
"13252","550302","I",21
"13253","550303","I",17
"13254","550400","I",1
"13255","550401","I",12
"13256","550402","I",23
"13257","550407","I",0
"13258","550408","I",0
"13259","550409","I",0
"13260","550412","I",3
"13261","590001","I",94
"13262","590002","I",55
"13263","590003","I",77
"13264","590004","I",52
"13265","590005","I",6
"13266","590006","I",32
"13267","590007","I",21
"13268","631001","I",162
"13269","632002","I",131
"13270","633003","I",157
"13271","634004","I",130
"13272","650101","I",27
"13273","650102","I",8
"13274","650103","I",31
"13275","650201","I",50
"13276","650301","I",23
"13277","650302","I",11
"13278","650401","I",66
"13279","650402","I",16
"13280","670001","I",179
"13281","670002","I",19
"13282","670004","I",22
"13283","670005","I",48
"13284","670006","I",21
"13285","670007","I",102
"13286","670009","I",54
"13287","670011","I",43
"13288","670012","I",40
"13289","670014","I",78
"13290","670015","I",28
"13291","670016","I",19
"13292","670017","I",143
"13293","670018","I",22
"13294","670019","I",13
"13295","670021","I",9
"13296","67013T","I",107
"13297","67020E","I",7
"13298","690101","I",52
"13299","690105","I",1
"13300","690201","I",36
"13301","690206","I",5
"13302","690301","I",48
"13303","690307","I",5
"13304","690401","I",38
"13305","690408","I",8
"13306","710001","I",27
"13307","710002","I",32
"13308","710003","I",26
"13309","710004","I",111
"13310","710005","I",91
"13311","710006","I",120
"13312","710007","I",82
"13313","710008","I",141
"13314","710009","I",12
"13315","710010","I",146
"13316","710011","I",286
"13317","710012","I",56
"13318","710014","I",10
"13319","730012","I",87
"13320","730013","I",59
"13321","730014","I",72
"13322","730015","I",175
"13323","730022","I",37
"13324","730023","I",63
"13325","730024","I",104
"13326","730025","I",60
"13327","730026","I",70
"13328","730027","I",48
"13329","730028","I",29
"13330","730032","I",28
"13331","730033","I",93
"13332","730034","I",62
"13333","730035","I",68
"13334","730036","I",90
"13335","730037","I",41
"13336","730038","I",60
"13337","730042","I",98
"13338","730043","I",97
"13339","730044","I",67
"13340","730045","I",75
"13341","730046","I",44
"13342","730047","I",15
"13343","730048","I",29
"13344","750101","I",15
"13345","750201","I",20
"13346","750301","I",28
"13347","750401","I",48
"13348","770001","I",35
"13349","770006","I",26
"13350","770008","I",33
"13351","770009","I",26
"13352","770010","I",12
"13353","770011","I",34
"13354","770012","I",18
"13355","770013","I",14
"13356","770014","I",9
"13357","770015","I",17
"13358","770017","I",56
"13359","770020","I",16
"13360","770024","I",6
"13361","770026","I",8
"13362","770027","I",19
"13363","770032","I",5
"13364","790101","I",19
"13365","790202","I",26
"13366","790303","I",4
"13367","790306","I",27
"13368","790404","I",11
"13369","810001","I",21
"13370","810002","I",24
"13371","810003","I",16
"13372","810004","I",13
"13373","830001","I",30
"13374","830002","I",55
"13375","830003","I",50
"13376","830004","I",52
"13377","83002E","I",24
"13378","850001","I",78
"13379","850002","I",116
"13380","850003","I",25
"13381","850004","I",30
"13382","850005","I",37
"13383","850006","I",147
"13384","850007","I",35
"13385","850008","I",69
"13386","850009","I",157
"13387","850010","I",13
"13388","850011","I",215
"13389","850012","I",55
"13390","850013","I",183
"13391","850014","I",56
"13392","850015","I",45
"13393","850016","I",177
"13394","850017","I",268
"13395","850018","I",60
"13396","850019","I",74
"13397","850020","I",65
"13398","850021","I",142
"13399","850022","I",183
"13400","850023","I",59
"13401","850024","I",67
"13402","850025","I",137
"13403","850026","I",57
"13404","850027","I",312
"13405","850028","I",81
"13406","850029","I",52
"13407","850030","I",158
"13408","850031","I",82
"13409","850032","I",97
"13410","850033","I",284
"13411","850034","I",69
"13412","850035","I",83
"13413","850036","I",28
"13414","850037","I",94
"13415","850038","I",161
"13416","850039","I",103
"13417","850040","I",133
"13418","850041","I",69
"13419","850042","I",98
"13420","850043","I",129
"13421","850044","I",46
"13422","850045","I",53
"13423","850046","I",107
"13424","850047","I",89
"13425","850048","I",102
"13426","850049","I",77
"13427","850050","I",68
"13428","850051","I",51
"13429","850052","I",84
"13430","850053","I",68
"13431","850054","I",114
"13432","850055","I",115
"13433","850056","I",718
"13434","850057","I",139
"13435","850058","I",102
"13436","850059","I",102
"13437","850060","I",47
"13438","850061","I",49
"13439","850062","I",85
"13440","850063","I",78
"13441","850064","I",97
"13442","850065","I",42
"13443","850066","I",72
"13444","850067","I",80
"13445","850068","I",67
"13446","850069","I",120
"13447","850070","I",55
"13448","850071","I",55
"13449","850072","I",60
"13450","850073","I",46
"13451","850074","I",44
"13452","850075","I",44
"13453","850076","I",95
"13454","850077","I",76
"13455","850078","I",72
"13456","850079","I",73
"13457","850080","I",105
"13458","850081","I",100
"13459","850082","I",84
"13460","850083","I",448
"13461","850084","I",58
"13462","850085","I",74
"13463","850086","I",77
"13464","850087","I",112
"13465","850088","I",58
"13466","850089","I",109
"13467","850090","I",53
"13468","850091","I",87
"13469","850092","I",112
"13470","850093","I",12
"13471","850094","I",73
"13472","850095","I",93
"13473","850096","I",30
"13474","850097","I",32
"13475","850098","I",16
"13476","850099","I",13
"13477","850100","I",1
"13478","850101","I",88
"13479","850102","I",62
"13480","850103","I",45
"13481","850104","I",68
"13482","850105","I",21
"13483","850106","I",60
"13484","850107","I",102
"13485","850108A","I",87
"13486","850108B","I",0
"13487","850109","I",72
"13488","850110","I",64
"13489","850111","I",90
"13490","850112","I",69
"13491","850113","I",109
"13492","850114","I",39
"13493","850115","I",81
"13494","850116","I",119
"13495","850117","I",107
"13496","850118","I",113
"13497","850119","I",144
"13498","850120","I",171
"13499","850121","I",56
"13500","850122","I",131
"13501","850123","I",33
"13502","850124","I",66
"13503","850125","I",121
"13504","850126A","I",103
"13505","850126B","I",0
"13506","850127","I",101
"13507","850128","I",135
"13508","850129","I",101
"13509","850130","I",145
"13510","850131","I",159
"13511","850132","I",80
"13512","850133","I",270
"13513","850134","I",143
"13514","850135","I",99
"13515","850136","I",58
"13516","850137","I",48
"13517","850138","I",54
"13518","850139","I",108
"13519","850140","I",97
"13520","850141","I",83
"13521","850142","I",77
"13522","850143","I",36
"13523","850144","I",60
"13524","850145","I",43
"13525","850146","I",145
"13526","850147","I",31
"13527","850148","I",0
"13528","850149","I",106
"13529","850150","I",16
"13530","850151","I",40
"13531","850152","I",1
"13532","850153","I",445
"13533","850154","I",38
"13534","850155","I",134
"13535","850156","I",100
"13536","850157","I",129
"13537","850158","I",57
"13538","850159","I",587
"13539","850160","I",9
"13540","850161","I",21
"13541","850162","I",15
"13542","850163","I",73
"13543","850164","I",5
"13544","850165","I",19
"13545","850166","I",86
"13546","850167","I",91
"13547","850168","I",48
"13548","850169","I",72
"13549","850170","I",189
"13550","850171","I",123
"13551","850172","I",76
"13552","850173","I",19
"13553","850174","I",427
"13554","850175","I",46
"13555","850176","I",121
"13556","850177","I",78
"13557","850178","I",125
"13558","850179","I",127
"13559","850180","I",68
"13560","850181","I",117
"13561","850182","I",0
"13562","850183","I",0
"13563","850184","I",0
"13564","850185","I",2
"13565","850186","I",0
"13566","850187","I",11
"13567","850188","I",0
"13568","850189","I",12
"13569","850190","I",7
"13570","850191","I",9
"13571","850192","I",108
"13572","850193","I",22
"13573","850194","I",3
"13574","850195","I",30
"13575","850196","I",201
"13576","850197A","I",33
"13577","850197B","I",0
"13578","850198","I",2
"13579","850199","I",31
"13580","850200","I",0
"13581","850201","I",0
"13582","850202","I",0
"13583","850203","I",98
"13584","850204","I",6
"13585","850205","I",1
"13586","850206","I",39
"13587","850207","I",98
"13588","850208","I",17
"13589","850209","I",12
"13590","850210","I",23
"13591","850211","I",155
"13592","850212","I",122
"13593","850213","I",216
"13594","850214","I",58
"13595","870101","I",24
"13596","870201","I",4
"13597","870202","I",0
"13598","870301","I",10
"13599","870302","I",1
"13600","870401","I",8
"13601","870402","I",4
"13602","890101","I",31
"13603","890102","I",5
"13604","890103","I",7
"13605","890201","I",46
"13606","890202","I",9
"13607","890301","I",21
"13608","890302","I",9
"13609","890303","I",4
"13610","890304","I",2
"13611","890305","I",20
"13612","890401","I",4
"13613","890402","I",28
"13614","90001","I",59
"13615","90002","I",37
"13616","90003","I",14
"13617","90004","I",15
"13618","90005","I",5
"13619","90006","I",60
"13620","90007","I",3
"13621","90008","I",21
"13622","90009","I",9
"13623","90010","I",48
"13624","90011","I",3
"13625","910101","I",159
"13626","910102","I",101
"13627","910103","I",105
"13628","910104","I",80
"13629","910105A","I",167
"13630","910105B","I",2
"13631","910106","I",144
"13632","910201","I",110
"13633","910202","I",30
"13634","910203A","I",181
"13635","910203B","I",0
"13636","910204","I",140
"13637","910205","I",152
"13638","910206","I",122
"13639","910301","I",86
"13640","910302","I",148
"13641","910303","I",22
"13642","910304","I",129
"13643","910305","I",80
"13644","910401","I",77
"13645","910402","I",183
"13646","910403","I",136
"13647","910404","I",197
"13648","910405","I",124
"13649","910406","I",157
"13650","930001","I",77
"13651","930002","I",58
"13652","930004","I",3
"13653","930005","I",25
"13654","930006","I",16
"13655","930007","I",19
"13656","930009","I",3
"13657","930010","I",21
"13658","930011","I",30
"13659","930012","I",80
"13660","930013","I",14
"13661","930014","I",5
"13662","930015","I",27
"13663","930016","I",3
"13664","950101","I",22
"13665","950102","I",1
"13666","950203","I",3
"13667","950204","I",5
"13668","950205","I",0
"13669","950306","I",15
"13670","950407","I",1
"13671","950408","I",15
"13672","970001","I",109
"13673","970002","I",14
"13674","970003","I",23
"13675","970004","I",33
"13676","970005","I",87
"13677","970006","I",20
"13678","970007","I",72
"13679","970008","I",46
"13680","970009","I",54
"13681","970010","I",93
"13682","970011","I",122
"13683","970012","I",40
"13684","970014","I",14
"13685","970015","I",11
"13686","970017","I",17
"13687","970018","I",61
"13688","970019","I",14
"13689","970020","I",16
"13690","970021","I",30
"13691","970022","I",101
"13692","970024","I",0
"13693","970025","I",0
"13694","970026","I",52
"13695","970027","I",16
"13696","970028","I",11
"13697","970030","I",11
"13698","970031","I",18
"13699","970033","I",18
"13700","970034","I",49
"13701","970035","I",53
"13702","970037","I",97
"13703","990101","I",144
"13704","990102","I",29
"13705","990103","I",3
"13706","990104","I",110
"13707","990205","I",25
"13708","990206","I",45
"13709","990207","I",79
"13710","990308","I",55
"13711","990309","I",6
"13712","990310","I",15
"13713","990311","I",2
"13714","990412","I",84
"13715","990413","I",38
"13716","990414","I",4
"13717","990415","I",5
"13718","990416","I",50
"13719","10001","R",793
"13720","10002","R",1291
"13721","10003","R",650
"13722","10004","R",858
"13723","10005","R",170
"13724","10006","R",388
"13725","10007","R",161
"13726","10008","R",60
"13727","10009","R",616
"13728","10010","R",298
"13729","10011","R",613
"13730","10013","R",781
"13731","10015","R",496
"13732","10016","R",413
"13733","10017","R",367
"13734","10018","R",1091
"13735","10019","R",1021
"13736","10020","R",498
"13737","10021","R",970
"13738","10022","R",590
"13739","10023","R",750
"13740","10024","R",499
"13741","1010101","R",143
"13742","1010102","R",26
"13743","1010201","R",157
"13744","1010301","R",76
"13745","1010401","R",83
"13746","1030001","R",343
"13747","1030002","R",282
"13748","1030003","R",172
"13749","1030004","R",203
"13750","1050001","R",219
"13751","1050002","R",248
"13752","1050003","R",243
"13753","1050004","R",165
"13754","1070011","R",242
"13755","1070027","R",377
"13756","1070039","R",281
"13757","1070044","R",391
"13758","1090001","R",39
"13759","1090002","R",58
"13760","1090004","R",38
"13761","10903-3","R",18
"13762","10903-5","R",87
"13763","110101","R",205
"13764","110201","R",109
"13765","110202","R",48
"13766","110301","R",182
"13767","110303","R",35
"13768","110401","R",115
"13769","110402","R",115
"13770","110404","R",18
"13771","1110001","R",196
"13772","1110002","R",30
"13773","1110003","R",10
"13774","1110004","R",28
"13775","1110005","R",14
"13776","1110006","R",149
"13777","1110007","R",237
"13778","1110008","R",378
"13779","1110009","R",295
"13780","1131000","R",65
"13781","1131001","R",95
"13782","1131002","R",163
"13783","1131003","R",336
"13784","1131004","R",727
"13785","1131005","R",713
"13786","1131006","R",911
"13787","1131007","R",238
"13788","1131008","R",180
"13789","1131009","R",116
"13790","1131010","R",282
"13791","1131011","R",78
"13792","1131012","R",112
"13793","1131013","R",1335
"13794","1131014","R",526
"13795","1131015","R",560
"13796","1131016","R",60
"13797","1131017","R",358
"13798","1131018","R",65
"13799","1131019","R",725
"13800","1131020","R",463
"13801","1131021","R",546
"13802","1131022","R",910
"13803","1131023","R",719
"13804","1131026","R",154
"13805","1131027","R",667
"13806","1131028","R",323
"13807","1131029","R",203
"13808","1131030","R",530
"13809","1131032","R",264
"13810","1131033","R",481
"13811","1131035","R",58
"13812","1131036","R",172
"13813","1131037","R",211
"13814","1131038","R",219
"13815","1131039","R",27
"13816","1131040","R",596
"13817","1131041","R",60
"13818","1131042","R",85
"13819","1131043","R",948
"13820","1131044","R",1064
"13821","1131045","R",227
"13822","1131046","R",74
"13823","1131047","R",318
"13824","1131048","R",1068
"13825","1131049","R",838
"13826","1131050","R",76
"13827","1131051","R",80
"13828","1131052","R",1067
"13829","1131054","R",254
"13830","1131055","R",138
"13831","1131056","R",260
"13832","1131057","R",380
"13833","1131058","R",504
"13834","1131059","R",555
"13835","1131060","R",1495
"13836","1131061","R",439
"13837","1131062","R",9
"13838","1131063","R",243
"13839","1131064","R",13
"13840","1131065A","R",212
"13841","1131065B","R",0
"13842","1131065C","R",0
"13843","1131067","R",4
"13844","1131068","R",8
"13845","1131069","R",4
"13846","1131070","R",202
"13847","1131071A","R",642
"13848","1131071B","R",0
"13849","1131073","R",455
"13850","1131074","R",83
"13851","1131075A","R",319
"13852","1131075B","R",0
"13853","1131076","R",539
"13854","1131077","R",0
"13855","1131078","R",73
"13856","1131079","R",282
"13857","1131080","R",49
"13858","1131081","R",586
"13859","1131082","R",11
"13860","1131083","R",149
"13861","1131084","R",373
"13862","1131085","R",96
"13863","1131086","R",46
"13864","1131087A","R",179
"13865","1131087B","R",0
"13866","1131087C","R",0
"13867","1131087D","R",0
"13868","1131088","R",167
"13869","1131089","R",67
"13870","1131090","R",155
"13871","1131091","R",160
"13872","1131092","R",136
"13873","1131093","R",61
"13874","1131094","R",40
"13875","1131095","R",72
"13876","1131096","R",77
"13877","1131097","R",202
"13878","1131098","R",89
"13879","1131099","R",4
"13880","1131100","R",65
"13881","1131101","R",107
"13882","1131102","R",135
"13883","1131103","R",40
"13884","1131104","R",120
"13885","1131105","R",5
"13886","1131106","R",23
"13887","1131107","R",66
"13888","1131108","R",155
"13889","1131109","R",41
"13890","1131110","R",1
"13891","1131111","R",105
"13892","1131112","R",22
"13893","1131113","R",7
"13894","1131114","R",30
"13895","1131115","R",241
"13896","1131116","R",216
"13897","1131117","R",1075
"13898","1131118","R",137
"13899","1131119","R",55
"13900","1131120","R",366
"13901","1131121","R",313
"13902","1131122","R",49
"13903","1131124","R",1
"13904","1131125","R",453
"13905","1131126","R",91
"13906","1131127","R",71
"13907","1131128","R",424
"13908","1131129","R",13
"13909","1131130","R",141
"13910","1131131","R",226
"13911","1131132","R",10
"13912","1131133","R",105
"13913","1131134","R",18
"13914","1131135","R",81
"13915","1131136","R",0
"13916","1131137","R",8
"13917","1131138","R",0
"13918","1131139","R",11
"13919","1131140","R",0
"13920","1131141A","R",0
"13921","1131141B","R",0
"13922","1131300","R",765
"13923","1131301","R",735
"13924","1131302","R",622
"13925","1131303","R",7
"13926","1131304","R",472
"13927","1131305","R",375
"13928","1131307","R",7
"13929","1131308A","R",474
"13930","1131308B","R",0
"13931","1131309","R",36
"13932","1131310","R",812
"13933","1131311","R",820
"13934","1131312","R",291
"13935","1131313","R",45
"13936","1131314","R",475
"13937","1131315","R",5
"13938","1131316","R",134
"13939","1131317","R",0
"13940","1131500","R",566
"13941","1131501","R",740
"13942","1131502","R",939
"13943","1131503","R",513
"13944","1131504","R",782
"13945","1131700","R",479
"13946","1131701","R",536
"13947","1131702","R",693
"13948","1131703","R",568
"13949","1131704","R",344
"13950","1131705","R",469
"13951","1131706","R",618
