"","precinct","party","votes"
"391","1134085","D",378
"392","1134086","D",987
"393","1134087A","D",322
"394","1134087B","D",0
"395","1134088","D",138
"396","1134090","D",27
"397","1134091A","D",0
"398","1134091B","D",0
"399","1134091C","D",0
"400","1134092","D",64
"401","1134093","D",34
"402","1134094","D",148
"403","1134095","D",11
"404","1134096","D",17
"405","1134097A","D",370
"406","1134097B","D",0
"407","1134098","D",12
"408","1134099","D",304
"409","1134101","D",46
"410","1134107","D",46
"411","1134108","D",34
"412","1134109","D",26
"413","1134110","D",488
"414","1134111","D",106
"415","1134112","D",12
"416","1134113","D",723
"417","1134114","D",574
"418","1134115","D",106
"419","1134116","D",1
"420","1134117","D",8
"421","1134118","D",0
"422","1134119","D",1
"423","1134120","D",210
"424","1134121","D",0
"425","1134122","D",0
"426","1134123","D",0
"427","1134124","D",0
"428","1134125","D",0
"429","1134300","D",513
"430","1134500","D",847
"431","1134501","D",677
"432","1134502","D",1242
"433","1134503","D",1444
"434","1134504","D",406
"435","1134505","D",605
"436","1134506","D",410
"437","1134507","D",488
"438","1134508","D",194
"439","1134509","D",351
"440","1134510","D",587
"441","1134511","D",483
"442","1134512","D",336
"443","1134513","D",758
"444","1134514","D",340
"445","1134515","D",554
"446","1134516","D",3
"447","1134517","D",770
"448","1134518A","D",561
"449","1134518B","D",0
"450","1134519","D",1026
"451","1134520","D",289
"452","1134521","D",1208
"453","1134522","D",1066
"454","1134523","D",199
"455","1134525","D",434
"456","1134527","D",466
"457","1134528","D",0
"458","1134529","D",250
"459","1134530","D",97
"460","1134531","D",144
"461","1134532","D",79
"462","1134533","D",305
"463","1134534","D",27
"464","1134535","D",289
"465","1134536","D",19
"466","1134537","D",3
"467","1134538","D",265
"468","1134539","D",0
"469","1134540","D",0
"470","1134541","D",0
"471","1134542","D",0
"472","1134600","D",617
"473","1134601","D",1001
"474","1134602","D",570
"475","1134603","D",19
"476","1134604","D",825
"477","1134605","D",653
"478","1134606","D",781
"479","1134607","D",556
"480","1134608A","D",1093
"481","1134608B","D",0
"482","1134609","D",668
"483","1134610","D",618
"484","1134611","D",468
"485","1134612","D",77
"486","1134613A","D",229
"487","1134613B","D",0
"488","1134614","D",90
"489","1134615","D",70
"490","1134616","D",368
"491","1134617","D",36
"492","1134618","D",134
"493","1134619","D",279
"494","1134620","D",460
"495","1134621","D",1336
"496","1134622","D",565
"497","1134623","D",721
"498","1134624","D",473
"499","1134625","D",528
"500","1134626","D",666
"501","1134627A","D",1042
"502","1134627B","D",0
"503","1134628","D",892
"504","1134629","D",400
"505","1134630","D",452
"506","1134631","D",319
"507","1134632","D",707
"508","1134633","D",280
"509","1134634","D",692
"510","1134635","D",541
"511","1134636","D",0
"512","1134637","D",1088
"513","1134639","D",195
"514","1134640","D",963
"515","1134641","D",136
"516","1134642","D",47
"517","1134644","D",12
"518","1134645","D",1
"519","1134646","D",137
"520","1134647","D",1026
"521","1134648","D",763
"522","1134649","D",25
"523","1134650","D",0
"524","1134651","D",20
"525","1134652","D",264
"526","1134653","D",26
"527","1134654","D",339
"528","1134655","D",7
"529","1134656","D",41
"530","1134657","D",30
"531","1134658","D",36
"532","1134659","D",90
"533","1134660","D",22
"534","1134661","D",293
"535","1134662","D",69
"536","1134663","D",0
"537","1134664","D",525
"538","1211000","D",254
"539","1211001","D",138
"540","1211002","D",441
"541","1211003","D",330
"542","1211004","D",1521
"543","1211005","D",237
"544","1211006","D",801
"545","1211007","D",994
"546","1211008","D",160
"547","1211009","D",601
"548","1211010","D",532
"549","1211011","D",797
"550","1211012","D",741
"551","1211013","D",599
"552","1211014","D",74
"553","1211015","D",616
"554","1211016","D",561
"555","1211017","D",962
"556","1211018","D",990
"557","1211019","D",626
"558","1211020","D",589
"559","1211021","D",509
"560","1211022","D",535
"561","1211023","D",612
"562","1211024","D",246
"563","1211025","D",627
"564","1211026","D",1231
"565","1211027","D",47
"566","1211028","D",529
"567","1211029","D",1535
"568","1211030","D",760
"569","1211031","D",834
"570","1211032","D",1148
"571","1211033","D",743
"572","1211034","D",718
"573","1211035","D",725
"574","1211036","D",1142
"575","1211037","D",91
"576","1211038","D",85
"577","1211039","D",0
"578","1211040","D",448
"579","1212000","D",1339
"580","1212001","D",1238
"581","1212002","D",1501
"582","1212003","D",604
"583","1212004","D",992
"584","1212005","D",991
"585","1212006","D",785
"586","1212007","D",1152
"587","1212008","D",939
"588","1212009","D",579
"589","1212010","D",1004
"590","1212011","D",824
"591","1212012","D",270
"592","1212013","D",398
"593","1212014","D",587
"594","1212015","D",802
"595","1212016","D",950
"596","1212017","D",1547
"597","1212018","D",617
"598","1212019","D",1
"599","1212020A","D",262
"600","1212020B","D",491
"601","1212021","D",1006
"602","1212022","D",576
"603","1212023","D",922
"604","1212024","D",447
"605","1212025","D",426
"606","1212026","D",654
"607","1212027","D",498
"608","1212028","D",1625
"609","1212029","D",523
"610","1212030","D",1316
"611","1212031","D",852
"612","1212032","D",604
"613","1212033","D",996
"614","1212096","D",0
"615","1212097","D",0
"616","1212099","D",0
"617","1213000","D",655
"618","1213001","D",423
"619","1213002","D",671
"620","1213003","D",455
"621","1213004","D",469
"622","1213005","D",270
"623","1213006","D",727
"624","1213007","D",1056
"625","1213008","D",569
"626","1213009","D",536
"627","1213010","D",1069
"628","1213011","D",1153
"629","1213012","D",414
"630","1213013","D",534
"631","1213014","D",509
"632","1213015","D",617
"633","1213016","D",559
"634","1213017","D",1131
"635","1213018","D",262
"636","1213019","D",1285
"637","1213020","D",182
"638","1213021","D",968
"639","1213022","D",44
"640","1213023A","D",98
"641","1213023B","D",0
"642","1213024","D",576
"643","1213025","D",618
"644","1213026","D",485
"645","1213027","D",805
"646","1213028","D",694
"647","1213029","D",463
"648","1213030","D",797
"649","1213031","D",567
"650","1213032","D",526
"651","1213098","D",6
"652","1213099","D",0
"653","1214000","D",434
"654","1214001","D",168
"655","1214002","D",294
"656","1214003","D",883
"657","1214004","D",651
"658","1214005","D",645
"659","1214006","D",816
"660","1214007","D",2393
"661","1214008","D",612
"662","1214009","D",1081
"663","1214010","D",486
"664","1214011","D",1649
"665","1214012","D",471
"666","1214013","D",110
"667","1214014","D",666
"668","1214015","D",253
"669","1214016","D",0
"670","1214017","D",367
"671","1214018","D",722
"672","1214019","D",35
"673","1214020","D",107
"674","1214021","D",143
"675","1214022","D",294
"676","1214023","D",372
"677","1214024","D",464
"678","1214025","D",655
"679","1214026","D",317
"680","1214027","D",769
"681","1214028","D",503
"682","1214029","D",41
"683","1214030","D",73
"684","1214031","D",377
"685","1214032","D",827
"686","1214033","D",650
"687","1214034","D",1017
"688","1214035","D",304
"689","1214036","D",436
"690","1214037","D",569
"691","1214038","D",51
"692","1214039","D",770
"693","1214040","D",338
"694","1214041","D",396
"695","1214042","D",5
"696","1214043","D",305
"697","1230101","D",131
"698","1230102","D",256
"699","1230201","D",36
"700","1230202","D",114
"701","1230203","D",74
"702","1230301","D",115
"703","1230302","D",122
"704","1230303","D",46
"705","1230401","D",228
"706","1230402","D",60
"707","1270001","D",482
"708","1270002","D",550
"709","1270003","D",140
"710","1270004","D",18
"711","1270005","D",312
"712","1270006","D",326
"713","1270007","D",210
"714","130001","D",164
"715","130002","D",263
"716","130003","D",336
"717","130004","D",40
"718","130005","D",449
"719","130006","D",19
"720","130007","D",408
"721","130008","D",120
"722","130009","D",32
"723","130010","D",244
"724","130011","D",16
"725","130012","D",298
"726","130013","D",544
"727","130014","D",99
"728","130015","D",546
"729","130016","D",67
"730","130017","D",641
"731","130018","D",442
"732","130019","D",101
"733","130020","D",706
"734","130021","D",27
"735","130022","D",153
"736","130023","D",174
"737","130024","D",317
"738","1310001","D",870
"739","1310002","D",546
"740","1310003","D",264
"741","1310004","D",89
"742","1310005","D",119
"743","1310006","D",63
"744","1310007","D",32
"745","1310008","D",552
"746","1310009","D",450
"747","1370001","D",76
"748","1370002","D",48
"749","1370003","D",71
"750","1370004","D",94
"751","1390101","D",403
"752","1390102","D",400
"753","1390103","D",414
"754","1390104","D",374
"755","1390105","D",301
"756","1390106","D",292
"757","1390107","D",409
"758","1390108","D",350
"759","1390109","D",291
"760","1390110","D",889
"761","1390111","D",182
"762","1390112","D",190
"763","1390113","D",602
"764","1390114","D",257
"765","1390115","D",240
"766","1390116","D",256
"767","1390117","D",321
"768","1390118","D",423
"769","1390119","D",177
"770","1390120","D",59
"771","1390121","D",260
"772","1390122","D",166
"773","1390123","D",288
"774","1390124","D",384
"775","1390125","D",501
"776","1390126","D",145
"777","1390127","D",69
"778","1390128","D",36
"779","1390129","D",110
"780","1390130","D",106
"781","1390131","D",265
"782","1390132","D",49
"783","1390133","D",76
"784","1390134","D",65
"785","1390135","D",292
"786","1390136","D",65
"787","1390137","D",132
"788","1390138","D",193
"789","1390139","D",131
"790","1390140","D",517
"791","1390141","D",215
"792","1390142","D",266
"793","1390143","D",351
"794","1390144","D",604
"795","1390145","D",783
"796","1390146","D",501
"797","1390147","D",589
"798","1390148","D",539
"799","1390149","D",221
"800","1410001","D",728
"801","1410002","D",1018
"802","1410003","D",928
"803","1410004","D",636
"804","1410005","D",2307
"805","1410006","D",807
"806","1410007","D",1166
"807","1410008","D",1136
"808","1410009","D",1388
"809","1410010","D",1486
"810","1410011","D",2065
"811","1410012","D",519
"812","1410013","D",1379
"813","1410014","D",1452
"814","1410015","D",1126
"815","1410016","D",1504
"816","1410017","D",705
"817","1410018","D",1340
"818","1410019","D",1335
"819","1410020","D",522
"820","1410021","D",976
"821","1410022","D",1090
"822","1410023","D",633
"823","1410024","D",1466
"824","1410025","D",1123
"825","1410026","D",749
"826","1410027","D",810
"827","1410028","D",169
"828","1410029","D",1114
"829","1410030","D",90
"830","1410031","D",545
"831","1410032","D",726
"832","1410033","D",984
"833","1410034","D",285
"834","1410035","D",979
"835","1410036","D",862
"836","1410037","D",866
"837","1410038","D",817
"838","1410039","D",307
"839","1410040","D",354
"840","1410041","D",415
"841","1410042","D",753
"842","1410043","D",807
"843","1410044","D",1711
"844","1410045","D",1337
"845","1410046","D",509
"846","1410047","D",1016
"847","1410048","D",762
"848","1410049","D",487
"849","1410050","D",1582
"850","1410051","D",801
"851","1410052","D",848
"852","1410053","D",1093
"853","1410054","D",737
"854","1410055","D",934
"855","1410056","D",816
"856","1410057","D",578
"857","1410058","D",629
"858","1410059","D",1015
"859","1410060","D",889
"860","1410061","D",582
"861","1410062","D",486
"862","1410063","D",938
"863","1410064","D",1024
"864","1410065","D",137
"865","1410066","D",816
"866","1410067","D",880
"867","1410068","D",268
"868","1410069","D",1572
"869","1410070","D",1010
"870","1410071","D",894
"871","1410072","D",551
"872","1410073","D",484
"873","1410074","D",884
"874","1410075","D",681
"875","1410076","D",551
"876","1410077","D",968
"877","1410078","D",604
"878","1410079","D",272
"879","1410080","D",625
"880","1410081","D",161
"881","1410082","D",855
"882","1410083","D",549
"883","1410084","D",914
"884","1410085","D",689
"885","1410086","D",240
"886","1410087","D",3
"887","1410088","D",201
"888","1410089","D",1207
"889","1410090","D",845
"890","1410091","D",439
"891","1410092","D",1261
"892","1410093","D",692
"893","1410094","D",1084
"894","1410095","D",1137
"895","1410096","D",1314
"896","1410097","D",812
"897","1410098","D",851
"898","1410099","D",514
"899","1410100","D",1268
"900","1410101","D",1026
"901","1410102","D",985
"902","1410103","D",787
"903","1410104","D",1181
"904","1410105","D",1117
"905","1410106","D",1185
"906","1410107","D",870
"907","1410108","D",846
"908","1410109","D",752
"909","1410110","D",1266
"910","1410111","D",844
"911","1410112","D",1355
"912","1410113","D",967
"913","1410114","D",1664
"914","1410115","D",1897
"915","1410116","D",2551
"916","1410117","D",1313
"917","1410118","D",984
"918","1410119","D",1110
"919","1410120","D",1245
"920","1410121","D",871
"921","1410122","D",1533
"922","1410123","D",1225
"923","1410124","D",1185
"924","1410125","D",1811
"925","1410126","D",1942
"926","1410127","D",162
"927","1410128","D",1762
"928","1410129","D",1009
"929","1410130","D",1479
"930","1410131","D",463
"931","1410132","D",151
"932","1410133","D",1082
"933","1410134","D",542
"934","1410135","D",978
"935","1410136","D",789
"936","1410137","D",823
"937","1410138","D",919
"938","1410139","D",882
"939","1410140","D",682
"940","1410141","D",521
"941","1410142","D",494
"942","1410143","D",1049
"943","1410144","D",1104
"944","1410145","D",1036
"945","1410146","D",546
"946","1410147","D",597
"947","1410148","D",926
"948","1410149","D",1086
"949","1410150","D",739
"950","1410151","D",900
"951","1410152","D",790
"952","1410153","D",1058
"953","1410154","D",870
"954","1410155","D",420
"955","1410156","D",1220
"956","1410157","D",720
"957","1410158","D",3025
"958","1410159","D",627
"959","1410160","D",897
"960","1410161","D",421
"961","1410162","D",1215
"962","1410163","D",921
"963","1410164","D",1265
"964","1410165","D",1222
"965","1410166","D",915
"966","1410167","D",1244
"967","1410168","D",1207
"968","1410169","D",1981
"969","1410170","D",891
"970","1410171","D",1872
"971","1410172","D",1456
"972","1410173","D",523
"973","1410174","D",6
"974","1410175","D",92
"975","1410176","D",450
"976","1410177","D",177
"977","1410178","D",446
"978","1410179","D",210
"979","1410180","D",637
"980","1410181","D",424
"981","1410182","D",419
"982","1410183","D",0
"983","1410184","D",0
"984","1410185","D",281
"985","1410186","D",316
"986","1410187","D",0
"987","1410188","D",38
"988","1410189","D",5
"989","1410190","D",0
"990","1410191","D",1
"991","1430010","D",123
"992","1430012","D",115
"993","1430018","D",137
"994","1430019","D",120
"995","1430024","D",76
"996","1430031","D",91
"997","1430035","D",42
"998","1430045","D",183
"999","1430047","D",99
"1000","1450101","D",122
"1001","1450104","D",51
"1002","1450105","D",135
"1003","1450201","D",53
"1004","1450203","D",223
"1005","1450204","D",303
"1006","1450301","D",44
"1007","1450302","D",43
"1008","1450303","D",31
"1009","1450304","D",151
"1010","1450403","D",162
"1011","1450404","D",87
"1012","1450405","D",107
"1013","1490002","D",17
"1014","1490003","D",40
"1015","1490004","D",71
"1016","1490005","D",18
"1017","1490006","D",52
"1018","1490007","D",50
"1019","1490008","D",26
"1020","1490009","D",29
