School District,Total,Anglo,Black,Hisp,B+H,Other
Brownfield ISD,11009,4857,651,5475,6065,87
,2826,874,164,1808,1933,19
Brownsboro ISD,15836,13429,1072,1080,2130,277
,3716,2891,304,456,746,79
Brownsville ISD,189858,10579,989,177415,177813,1466
,65202,1882,423,62804,62927,393
Brownwood ISD,21707,14696,1293,5466,6663,348
,5465,2976,440,2018,2410,79
Bruceville-Eddy ISD,4059,3196,93,703,794,69
,1050,734,29,278,305,11
Bryan ISD,92345,44261,15427,31049,45929,2155
,23646,7247,5079,11302,16068,331
Bryson ISD,1259,1096,11,123,134,29
,313,243,7,55,62,8
Buckholts ISD,855,524,8,308,315,16
,251,121,1,124,125,5
Buena Vista ISD,404,212,3,187,190,2
,102,31,2,69,71,0
Buffalo ISD,5072,3669,413,962,1353,50
,1209,705,108,396,490,14
Bullard ISD,11048,9745,553,553,1092,211
,2754,2284,193,223,408,62
Buna ISD,7887,7327,249,200,441,119
,1987,1793,79,80,155,39
Burkburnett ISD,22237,17269,1860,2130,3911,1057
,4751,3506,399,676,1038,207
Burkeville ISD,2390,1720,592,45,636,34
,479,317,134,19,153,9
Burleson ISD,52131,42774,2063,6191,8147,1210
,14784,11017,873,2563,3374,393
Burnet Cons ISD,22014,18066,445,3177,3585,363
,4727,3399,93,1168,1240,88
Burton ISD,2969,2370,315,237,549,50
,597,419,68,88,155,23
Bushland ISD,5269,4664,64,400,461,144
,1396,1205,28,132,159,32
Bynum ISD,1028,843,19,135,149,36
,284,213,5,60,61,10
Caddo Mills ISD,6465,5631,171,570,734,100
,1856,1555,62,215,271,30
Calallen ISD,20286,10560,354,9138,9427,299
,5610,2235,156,3181,3295,80
Caldwell ISD,10193,6988,1033,2113,3123,82
,2549,1408,295,847,1125,16
Calhoun County ISD,21381,9794,655,9922,10484,1103
,5671,1729,193,3506,3645,297
Callisburg ISD,6892,6430,44,296,339,123
,1422,1260,24,116,139,23
Calvert ISD,1633,725,663,214,871,37
,377,92,208,75,279,6
Cameron ISD,8526,4881,1276,2301,3537,108
,2248,926,406,908,1286,36
Campbell ISD,2231,1964,32,178,208,59
,498,399,15,73,87,12
Canadian ISD,3643,2514,14,1070,1079,50
,1081,604,9,460,466,11
Canton ISD,11346,10080,256,732,979,287
,2563,2125,90,271,357,81
Canutillo ISD,25848,3052,396,22228,22494,302
,8393,615,148,7618,7692,86
Canyon ISD,51224,41943,1077,6929,7907,1374
,12988,9699,428,2565,2929,360
Carlisle ISD,2458,1404,170,860,1030,24
,747,317,32,390,422,8
Carrizo Springs Cons ISD,9996,1217,122,8616,8700,79
,3001,236,51,2718,2746,19
Carroll ISD,28292,23772,642,1559,2173,2347
,9640,7713,275,687,946,981
Carrollton-Farmers Branch ISD,167614,66334,21884,52427,73323,27957
,39758,9383,6222,18226,23976,6399
Carthage ISD,16558,11640,3191,1518,4686,232
,4084,2477,897,654,1540,67
Castleberry ISD,19439,8880,375,9932,10242,317
,5585,1405,151,4017,4123,57
Cayuga ISD,10080,4624,3512,1870,5374,82
,714,569,63,66,127,18
Cedar Hill ISD,45362,11495,24159,8794,32528,1339
,13633,1854,8311,3344,11410,369
Celeste ISD,2369,2134,63,128,186,49
,610,517,31,56,82,11
Celina ISD,8828,6720,324,1614,1924,184
,2743,1907,124,661,778,58
Center ISD,11740,6332,2441,2886,5299,109
,3241,1315,715,1199,1897,29
Center Point ISD,3964,2684,38,1173,1191,89
,1017,496,26,483,495,26
Centerville ISD (Leon),4279,3539,367,310,675,65
,855,660,68,114,182,13
Centerville ISD (Trinity),767,713,5,31,36,18
,180,155,0,16,16,9
Central Heights ISD,3230,2615,268,293,549,66
,906,688,70,133,194,24
Central ISD,8334,6767,557,918,1467,100
,2120,1564,160,381,534,22
Channelview ISD,36550,8164,5360,22376,27478,908
,12597,1588,1864,9048,10771,238
Channing ISD,817,605,22,165,186,26
,303,199,18,80,97,7
Chapel Hill ISD (Smith),21282,13288,3891,3727,7540,454
,5100,2509,1006,1519,2482,109
Chapel Hill ISD (Titus),3118,2295,143,627,767,56
,921,560,61,283,341,20
Charlotte ISD,2383,717,37,1646,1653,13
,723,184,14,535,538,1
Cherokee ISD,596,495,9,82,90,11
,139,99,8,29,37,3
Chester ISD,1266,1058,147,49,193,15
,287,247,23,15,37,3
Chico ISD,3547,3025,10,466,473,49
,850,632,8,203,209,9
Childress ISD,7011,4300,723,1881,2582,129
,1497,878,106,491,585,34
Chillicothe ISD,1185,839,51,287,325,21
,287,153,19,116,127,7
Chilton ISD,2140,1067,269,753,1018,55
,596,195,74,304,375,26
China Spring ISD,10962,9435,351,1038,1351,176
