DISTRICT_N,REGION,NEW
249903,11,33
249903,11,33
184901,11,33
184901,11,33
184901,11,33
184908,11,23
184908,11,23
184908,11,23
184911,11,23
184911,11,23
184911,11,23
182905,11,23
182905,11,23
182906,11,23
182906,11,23
182903,11,23
182903,11,23
182903,11,23
184904,11,23
184904,11,23
184904,11,23
182902,11,23
182902,11,23
49908,11,11
49908,11,11
49909,11,11
49909,11,11
49902,11,11
49902,11,11
49907,11,11
49907,11,11
49901,11,11
49901,11,11
72904,11,23
72904,11,23
111902,11,23
111902,11,23
111902,11,23
184909,11,23
184909,11,23
184909,11,23
111903,11,23
111903,11,23
111903,11,23
213901,11,23
213901,11,23
213901,11,23
126907,11,31
126907,11,31
126907,11,31
49905,11,11
49905,11,11
249901,11,11
249901,11,11
220919,11,33
220919,11,33
220919,11,33
220906,11,33
220906,11,33
220906,11,33
61912,11,11
61912,11,11
61912,11,11
61910,11,11
61910,11,11
61910,11,11
61907,11,11
61907,11,11
61907,11,11
61914,11,11
61914,11,11
61914,11,11
61902,11,33
61902,11,33
61902,11,33
61908,11,11
61908,11,11
61908,11,11
249908,11,11
249908,11,11
249908,11,11
49903,11,11
49903,11,11
49903,11,11
49906,11,11
49906,11,11
49906,11,11
61903,11,11
61903,11,11
61903,11,11
61906,11,11
61906,11,11
61906,11,11
249905,11,11
249905,11,11
249905,11,11
61905,11,11
61905,11,11
61905,11,11
61901,11,11
61901,11,11
61901,11,11
111901,11,23
111901,11,23
111901,11,23
249902,11,33
249902,11,33
249902,11,33
184902,11,33
184902,11,33
184902,11,33
184903,11,23
184903,11,23
184903,11,23
220907,11,33
220907,11,33
220907,11,33
61911,11,11
61911,11,11
61911,11,11
220920,11,23
220920,11,23
220920,11,23
220910,11,23
220910,11,23
220910,11,23
220916,11,31
220916,11,31
220916,11,31
220918,11,33
220918,11,33
220918,11,33
220917,11,23
220917,11,23
220917,11,23
220902,11,33
220902,11,33
220902,11,33
220915,11,33
220915,11,33
220915,11,33
184907,11,23
184907,11,23
184907,11,23
220912,11,23
220912,11,23
220912,11,23
220905,11,23
220905,11,23
220905,11,23
126911,11,23
126911,11,23
126911,11,23
126903,11,31
126903,11,31
126903,11,31
126906,11,31
126906,11,31
126906,11,31
126905,11,31
126905,11,31
126905,11,31
126904,11,31
126904,11,31
126904,11,31
220908,11,31
220908,11,31
220908,11,31
220914,11,31
220914,11,31
220914,11,31
220904,11,31
220904,11,31
220904,11,31
220901,11,31
220901,11,31
220901,11,31
126908,11,31
126908,11,31
126908,11,31
126902,11,31
126902,11,31
126902,11,31
126901,11,31
126901,11,31
126901,11,31
121906,5,5
121906,5,5
121903,5,5
121903,5,5
84903,5,4
84903,5,4
84903,5,4
100904,5,5
100904,5,5
176903,5,5
176903,5,5
181906,5,5
181906,5,5
181905,5,5
181905,5,5
181905,5,5
181908,5,5
181908,5,5
181901,5,5
181901,5,5
181901,5,5
181907,5,5
181907,5,5
181907,5,5
123913,5,5
123913,5,5
123913,5,5
123908,5,5
123908,5,5
123908,5,5
123907,5,5
123907,5,5
123907,5,5
123905,5,5
123905,5,5
123905,5,5
176902,5,5
176902,5,5
176901,5,5
176901,5,5
176901,5,5
121902,5,5
121902,5,5
121902,5,5
100903,5,5
100903,5,5
100907,5,5
100907,5,5
100907,5,5
123914,5,5
123914,5,5
123914,5,5
123910,5,5
123910,5,5
123910,5,5
229904,5,5
229904,5,5
229905,5,5
229905,5,5
121905,5,5
121905,5,5
121904,5,5
121904,5,5
121904,5,5
229906,5,5
229906,5,5
229906,5,5
229901,5,5
229901,5,5
229901,5,5
229903,5,5
229903,5,5
