"","PCTKEY","DISTRICT_N","intesecting"
"16692","4910491","246909",0.879090743395393
"16693","4910491","246906",0.120909256605287
"16694","4930101","247901",1.0000000000003
"16695","4930101","247903",0
"16696","4930101","15911",0
"16697","4930102","247901",1.00000000000065
"16698","4930103","247901",1.00000000000033
"16699","4930103","15917",0
"16700","4930103","15911",0
"16701","4930104","247901",0.999999999998126
"16702","4930104","7905",0
"16703","4930104","247904",0
"16704","4930104","15917",0
"16705","4930205","247901",0.13605777537973
"16706","4930205","247906",0.0179086196545704
"16707","4930205","247904",0.670522919210198
"16708","4930205","128904",0.175510685754269
"16709","4930206","247901",0.983360228911081
"16710","4930206","247904",0.0166397710890469
"16711","4930207","247901",0.985331616572723
"16712","4930207","247906",0.0146683834298226
"16713","4930208","247901",0.106812363340839
"16714","4930208","7905",0
"16715","4930208","247904",0.893187636659298
"16716","4930208","128904",0
"16717","4930209","247901",0.0350983806601236
"16718","4930209","128901",0
"16719","4930209","247906",0.0257937753896092
"16720","4930209","247904",0.939107843949035
"16721","4930209","128904",0
"16722","4930310","247903",0.999999999999302
"16723","4930311","247901",0.0168013693805025
"16724","4930311","247903",0.983198630619483
"16725","4930311","15911",0
"16726","4930312","247903",0.999999999999738
"16727","4930313","247901",0.270125944852897
"16728","4930313","247903",0.353986310972514
"16729","4930313","247906",0.375887744172971
"16730","4930313","94901",0
"16731","4930414","89903",0.178035686855764
"16732","4930414","128901",0
"16733","4930414","247906",0.812742586434087
"16734","4930414","247904",0.00922172671080487
"16735","4930414","94901",0
"16736","4930415","247901",0.532949388704512
"16737","4930415","247903",0.182934326327741
"16738","4930415","247906",0.284116284965191
"16739","4930416","247901",0.948410325234419
"16740","4930416","247903",0.0515896747660988
"16741","4950101","248901",0.680483902089116
"16742","4950101","248902",0.319516097910588
"16743","4950101","2901",0
"16744","4950201","248901",0.999999999999972
"16745","4950202","238902",0
"16746","4950202","248901",0.0125281996639908
"16747","4950202","248902",0.987471800336927
"16748","4950301","248901",0.646708675445358
"16749","4950301","248902",0.35329132455499
"16750","4950301","68901",0
"16751","4950301","2901",0
"16752","4950401","238902",0
"16753","4950401","248901",0.139462816078303
"16754","4950401","248902",0.860537183922483
"16755","4950401","68901",0
"16756","4970001","249908",0.0151880522372356
"16757","4970001","61906",0
"16758","4970001","249905",0.9789059356612
"16759","4970001","61905",0.00590601210060606
"16760","4970002","249905",0.999999999999404
"16761","4970002","249902",0
"16762","4970003","249908",0.9534642839914
"16763","4970003","249905",0.0465357160120379
"16764","4970003","61905",0
"16765","4970004","249908",0.800630714322095
"16766","4970004","249905",0.199369285678168
"16767","4970005","61906",9.95318267978514e-11
"16768","4970005","249905",0.999999999849852
"16769","4970005","249902",0
"16770","4970005","61911",5.09535178571733e-11
"16771","4970006","249905",0.188462750602135
"16772","4970006","249902",0.00327201714933364
"16773","4970006","61911",0.808265232247872
"16774","4970007","249905",0.999999999999508
"16775","4970008","249906",0.0585366214180809
"16776","4970008","249904",0
"16777","4970008","249903",0.000522668376263069
"16778","4970008","169910",0
"16779","4970008","249901",0.0534171819961769
"16780","4970008","249908",0.140232719865012
"16781","4970008","249905",0.747290808345435
"16782","4970009","249904",0.0184953882947597
"16783","4970009","169901",0
"16784","4970009","169910",0
"16785","4970009","249901",0.958253037401798
"16786","4970009","249908",0
"16787","4970009","249905",0.0232515743017063
"16788","4970010","249904",0.344814172168331
"16789","4970010","169901",0
"16790","4970010","249901",0.65518582783175
"16791","4970011","249904",1.00000000000119
"16792","4970011","169901",0
"16793","4970011","119902",0
"16794","4970011","249901",0
"16795","4970012","249904",0.710415899563951
"16796","4970012","249903",0.229569963482434
"16797","4970012","119902",0.0274894715931092
"16798","4970012","249901",0.0325246653624188
"16799","4970013","249906",0
"16800","4970013","249903",0.994805044924197
"16801","4970013","249905",0.00519495507247113
"16802","4970014","249906",0.0750453627416014
"16803","4970014","249903",0.924954637258421
"16804","4970015","249903",0.369721916312758
"16805","4970015","119902",0.630278083685952
"16806","4970016","249906",0.069137913462383
"16807","4970016","249903",0.627841621022391
"16808","4970016","184901",0.269223914283256
"16809","4970016","119903",0
"16810","4970016","119902",0
"16811","4970016","184902",0.0337965512325509
"16812","4970017","249906",0.92641492490013
"16813","4970017","249903",0.0708986897239326
"16814","4970017","249905",0
"16815","4970017","249902",0.00268638537599792
"16816","4970018","249904",0.309500210130929
"16817","4970018","249903",0.690499789869061
"16818","4970018","249901",0
"16819","4970018","249905",0
"16820","4970019","249904",0.0936981860930676
"16821","4970019","249903",0.906301813906784
